Simulation Mode;Density target;currentPosition X;currentPosition Y;currentPosition Z;currentPosition Type;nextPosition X;nextPosition Y;nextPosition Z;nextPosition Type;targetPosition X;targetPosition Y;targetPosition Z;targetPosition Type;Heading angle;flightState;localCollisions;currentPathStep;currentStepPercentage;flightSpeed;aircraftDiameter;Flight count;Far collisions;Medium collisions;Close collisions;Spot on collisions;;;;
Polygons;50;-1554.098;102.9836;-939.6895;NoFlyEvasion;-1558.895;102.4;-964.837;NoFlyEvasion;-956.3813;0;-2164.65;Ground;280.8;Transit;1 1 1 1;5;81;7;2.05;153;222;86;17;1;1.101999;1.040873;12;78
Polygons;50;-1553.903;103.0073;-938.6673;NoFlyEvasion;-1558.895;102.4;-964.837;NoFlyEvasion;-643.9564;0;-2036.309;Ground;280.8;Transit;1 1 1 1;6;79;16;0.15;153;222;86;17;2;1.101999;1.040873;78;12
Polygons;50;1229.176;72.17782;1506.809;NoFlyEvasion;1139.267;73.9;1542.406;NoFlyEvasion;-648.2708;0;511.317;Ground;158.38;Transit;1 1 1 1;4;29;3;1.42;283;671;297;66;3;1.738788;1.721588;135;202
Polygons;50;1230.739;71.8077;1506.19;NoFlyEvasion;1139.267;73.7;1542.406;NoFlyEvasion;-529.8389;0;964.5377;Ground;158.37;Transit;1 1 1 1;5;26;8;2.06;283;671;297;66;4;1.738788;1.721588;202;135
Polygons;50;-516.7481;66.24554;-722.0981;NoFlyEvasion;-527.1759;65.6;-699.9377;NoFlyEvasion;-1717.882;0;195.0178;Ground;115.19;Transit;1 1 1 1;3;81;4;1.36;310;775;347;78;5;1.593321;1.550849;36;236
Polygons;50;-516.3434;65.02002;-722.958;NoFlyEvasion;-527.1759;65.6;-699.9377;NoFlyEvasion;-2113.875;0;886.4739;Ground;115.19;Transit;1 1 1 1;4;79;12;1.82;310;775;347;78;6;1.593321;1.550849;236;36
Polygons;50;1019.991;75.69856;1557.475;NoFlyEvasion;1000;76;1560;NoFlyEvasion;-648.2708;0;511.317;Ground;172.75;Transit;1 1 1 1;5;84;3;1.42;313;788;351;80;7;1.770692;1.658662;135;282
Polygons;50;1021.616;75.95853;1557.269;NoFlyEvasion;1000;76.3;1560;NoFlyEvasion;-233.9075;0;26.46509;Ground;172.74;Transit;1 1 1 1;5;77;20;2.12;313;788;351;80;8;1.770692;1.658662;282;135
Polygons;50;-1555.388;101.1269;-1020.573;NoFlyEvasion;-1550.081;99.2;-1104.933;NoFlyEvasion;-1300.01;0;-2095.338;Ground;266.4;Transit;1 1 1 1;6;38;7;2.83;325;839;372;85;9;2.350199;2.310645;213;227
Polygons;50;-1555.533;101.1796;-1018.267;NoFlyEvasion;-1550.081;99.2;-1104.933;NoFlyEvasion;-2231.848;0;-1522.716;Ground;266.4;Transit;1 1 1 1;12;34;21;1.87;325;839;372;85;10;2.350199;2.310645;227;213
